,Name,Constituency,Gender,Age,Party,Ethnicty
,Maria Bailey,Dun Laoghaire,F,41,Fine Gael,Caucasian
,Pat Breen,Clare,M,60,Fine Gael,Caucasian
,Colm Brophy,Dublin South-West,M,51,Fine Gael,Caucasian
,Richard Bruton,Dublin Bay North,M,64,Fine Gael,Caucasian
,Peter Burke,Longford–Westmeath,M,35,Fine Gael,Caucasian
,Catherine Byrne,Dublin South-Central,F,61,Fine Gael,Caucasian
,Ciarán Cannon,Galway East,M,52,Fine Gael,Caucasian
,Joe Carey,Clare,M,42,Fine Gael,Caucasian
,Marcella Corcoran Kennedy,Offaly,F,54,Fine Gael,Caucasian
,Simon Coveney,Cork South-Central,M,45,Fine Gael,Caucasian
,Michael Creed,Cork North-West,M,54,Fine Gael,Caucasian
,Jim Daly,Cork South-West,M,44,Fine Gael,Caucasian
,Michael W. D'Arcy,Wexford,M,47,Fine Gael,Caucasian
,John Deasy,Waterford,M,50,Fine Gael,Caucasian
,Pat Deering,Carlow–Kilkenny,M,50,Fine Gael,Caucasian
,Regina Doherty,Meath East,F,46,Fine Gael,Caucasian
,Paschal Donohoe,Dublin Central,M,43,Fine Gael,Caucasian
,Andrew Doyle,Wicklow,M,57,Fine Gael,Caucasian
,Bernard Durkan,Kildare North,M,72,Fine Gael,Caucasian
,Damien English,Meath West,M,39,Fine Gael,Caucasian
,Alan Farrell,Dublin Fingal,M,39,Fine Gael,Caucasian
,Frances Fitzgerald,Dublin Mid-West,F,67,Fine Gael,Caucasian
,Peter Fitzpatrick,Louth,M,55,Fine Gael,Caucasian
,Charles Flanagan,Laois,M,60,Fine Gael,Caucasian
,Brendan Griffin,Kerry,M,35,Fine Gael,Caucasian
,Simon Harris,Wicklow,M,31,Fine Gael,Caucasian
,Martin Heydon,Kildare South,M,39,Fine Gael,Caucasian
,Heather Humphreys,Cavan–Monaghan,F,54,Fine Gael,Caucasian
,Paul Kehoe,Wexford,M,44,Fine Gael,Caucasian
,Enda Kenny,Mayo,M,66,Fine Gael,Caucasian
,Sean Kyne,Galway West,M,42,Fine Gael,Caucasian
,Josepha Madigan,Dublin Rathdown,F,47,Fine Gael,Caucasian
,Helen McEntee,Meath East,F,31,Fine Gael,Caucasian
,Joe McHugh,Donegal,M,46,Fine Gael,Caucasian
,Tony McLoughlin,Sligo–Leitrim,M,68,Fine Gael,Caucasian
,Mary Mitchell O'Connor,Dún Laoghaire,F,58,Fine Gael,Caucasian
,Dara Murphy,Cork North-Central,M,47,Fine Gael,Caucasian
,Eoghan Murphy,Dublin Bay South,M,35,Fine Gael,Caucasian
,Hildegarde Naughton,Galway West,F,40,Fine Gael,Caucasian
,Tom Neville,Limerick County,M,42,Fine Gael,Caucasian
,Michael Noonan,Limerick City,M,74,Fine Gael,Caucasian
,Kate O'Connell,Dublin Bay South,F,37,Fine Gael,Caucasian
,Patrick O'Donovan,Limerick County,M,40,Fine Gael,Caucasian
,Fergus O'Dowd,Louth,M,69,Fine Gael,Caucasian
,John Paul Phelan,Carlow–Kilkenny,M,39,Fine Gael,Caucasian
,Michael Ring,Mayo,M,63,Fine Gael,Caucasian
,Noel Rock,Dublin North-West,M,29,Fine Gael,Caucasian
,David Stanton,Cork East,M,60,Fine Gael,Caucasian
,Leo Varadkar,Dublin West,M,38,Fine Gael,Caucasian
,Bobby Aylward,Carlow–Kilkenny,M,62,Fianna Fáil,Caucasian
,John Brassil,Kerry,M,54,Fianna Fáil,Caucasian
,Declan Breathnach,Louth,M,59,Fianna Fáil,Caucasian
,James Browne,Wexford,M,41,Fianna Fáil,Caucasian
,Mary Butler,Waterford,F,51,Fianna Fáil,Caucasian
,Thomas Byrne,Meath East,M,40,Fianna Fáil,Caucasian
,Jackie Cahill,Tipperary,M,60,Fianna Fáil,Caucasian
,Dara Calleary,Mayo,M,44,Fianna Fáil,Caucasian
,Pat Casey,Wicklow,M,56,Fianna Fáil,Caucasian
,Shane Cassells,Meath West,M,46,Fianna Fáil,Caucasian
,Jack Chambers,Dublin West,M,26,Fianna Fáil,Caucasian
,Lisa Chambers,Mayo,F,31,Fianna Fáil,Caucasian
,Niall Collins,Limerick County,M,44,Fianna Fáil,Caucasian
,Barry Cowen,Offaly,M,54,Fianna Fáil,Caucasian
,John Curran,Dublin Mid-West,M,57,Fianna Fáil,Caucasian
,Timmy Dooley,Clare,M,48,Fianna Fáil,Caucasian
,Seán Fleming,Laois,M,59,Fianna Fáil,Caucasian
,Pat the Cope Gallagher,Donegal,M,69,Fianna Fáil,Caucasian
,Seán Haughey,Dublin Bay North,M,55,Fianna Fáil,Caucasian
,Billy Kelleher,Cork North-Central,M,49,Fianna Fáil,Caucasian
,John Lahart,Dublin South-West,M,57,Fianna Fáil,Caucasian
,James Lawless,Kildare North,M,41,Fianna Fáil,Caucasian
,Marc MacSharry,Sligo–Leitrim,F,44,Fianna Fáil,Caucasian
,Micheál Martin,Cork South-Central,M,57,Fianna Fáil,Caucasian
,Charlie McConalogue,Donegal,M,40,Fianna Fáil,Caucasian
,Michael McGrath,Cork South-Central,M,41,Fianna Fáil,Caucasian
,John McGuinness,Carlow–Kilkenny,M,62,Fianna Fáil,Caucasian
,Aindrias Moynihan,Cork North-West,M,50,Fianna Fáil,Caucasian
,Michael Moynihan,Cork North-West,M,49,Fianna Fáil,Caucasian
,Eugene Murphy,Roscommon–Galway,M,52,Fianna Fáil,Caucasian
,Margaret Murphy O'Mahony,Cork South-West,F,48,Fianna Fáil,Caucasian
,Darragh O'Brien,Dublin Fingal,M,43,Fianna Fáil,Caucasian
,Jim O'Callaghan,Dublin Bay South,M,49,Fianna Fáil,Caucasian
,Éamon Ó Cuív,Galway West,M,67,Fianna Fáil,Caucasian
,Willie O'Dea,Limerick City,M,64,Fianna Fáil,Caucasian
,Seán Ó Fearghaíl,Kildare South,M,57,Fianna Fáil,Caucasian
,Kevin O'Keeffe,Cork East,M,53,Fianna Fáil,Caucasian
,Fiona O'Loughlin,Kildare South,F,52,Fianna Fáil,Caucasian
,Frank O'Rourke,Kildare North,M,48,Fianna Fáil,Caucasian
,Anne Rabbitte,Galway East,F,47,Fianna Fáil,Caucasian
,Eamon Scanlon,Sligo–Leitrim,M,63,Fianna Fáil,Caucasian
,Brendan Smith,Cavan–Monaghan,M,62,Fianna Fáil,Caucasian
,Niamh Smyth,Cavan–Monaghan,F,39,Fianna Fáil,Caucasian
,Robert Troy,Longford–Westmeath,M,35,Fianna Fáil,Caucasian
,Gerry Adams,Louth,M,69,Sinn Fein,Caucasian
,John Brady,Wicklow,M,44,Sinn Fein,Caucasian
,Pat Buckley,Cork East,M,48,Sinn Fein,Caucasian
,Seán Crowe,Dublin South-West,M,60,Sinn Fein,Caucasian
,David Cullinane,Waterford,M,43,Sinn Fein,Caucasian
,Pearse Doherty,Donegal,M,40,Sinn Fein,Caucasian
,Dessie Ellis,Dublin North-West,M,64,Sinn Fein,Caucasian
,Martin Ferris,Kerry,M,65,Sinn Fein,Caucasian
,Kathleen Funchion,Carlow–Kilkenny,F,36,Sinn Fein,Caucasian
,Martin Kenny,Sligo–Leitrim,M,46,Sinn Fein,Caucasian
,Mary Lou McDonald,Dublin Central,F,48,Sinn Fein,Caucasian
,Denise Mitchell,Dublin Bay North,F,40,Sinn Fein,Caucasian
,Imelda Munster,Louth,F,49,Sinn Fein,Caucasian
,Carol Nolan,Offaly,F,39,Sinn Fein,Caucasian
,Caoimhghín Ó Caoláin,Cavan–Monaghan,M,64,Sinn Fein,Caucasian
,Jonathan O'Brien,Cork North-Central,M,45,Sinn Fein,Caucasian
,Eoin Ó Broin,Dublin Mid-West,M,45,Sinn Fein,Caucasian
,Donnchadh Ó Laoghaire,Cork South-Central,M,28,Sinn Fein,Caucasian
,Louise O'Reilly,Dublin Fingal,F,38,Sinn Fein,Caucasian
,Aengus Ó Snodaigh,Dublin South-Central,M,53,Sinn Fein,Caucasian
,Maurice Quinlivan,Limerick City,M,49,Sinn Fein,Caucasian
,Brian Stanley,Laois,M,56,Sinn Fein,Caucasian
,Peadar Tóibín,Meath West,M,43,Sinn Fein,Caucasian
,Joan Burton,Dublin West,F,68,Labour,Caucasian
,Brendan Howlin,Wexford,M,61,Labour,Caucasian
,Alan Kelly,Tipperary,M,42,Labour,Caucasian
,Jan O'Sullivan,Limerick City,F,66,Labour,Caucasian
,Willie Penrose,Longford–Westmeath,M,61,Labour,Caucasian
,Brendan Ryan,Dublin Fingal,M,64,Labour,Caucasian
,Seán Sherlock,Cork East,M,44,Labour,Caucasian
,Richard Boyd Barrett,Dún Laoghaire,M,50,People Before Profit,Caucasian
,Mick Barry,Cork North-Central,M,53,People Before Profit,Caucasian
,Ruth Coppinger,Dublin West,F,50,People Before Profit,Caucasian
,Gino Kenny,Dublin Mid-West,M,45,People Before Profit,Caucasian
,Paul Murphy,Dublin South-West,M,34,People Before Profit,Caucasian
,Bríd Smith,Dublin South-Central,F,56,People Before Profit,Caucasian
,Tommy Broughan,Dublin Bay North,M,70,Independents 4 Change,Caucasian
,Joan Collins,Dublin South-Central,F,56,Independents 4 Change,Caucasian
,Clare Daly,Dublin Fingal,F,49,Independents 4 Change,Caucasian
,Mick Wallace,Wexford,M,61,Independents 4 Change,Caucasian
,Stephen Donnelly,Wicklow,M,41,Social Democrats,Caucasian
,Catherine Murphy,Kildare North,F,64,Social Democrats,Caucasian
,Róisín Shortall,Dublin North-West,F,63,Social Democrats,Caucasian
,Catherine Martin,Dublin Rathdown,F,44,Green Party,Caucasian
,Eamon Ryan,Dublin Bay South,M,54,Green Party,Caucasian
,Seán Canney,Galway East,M,57,Independent,Caucasian
,Séamus Healy,Tipperary,M,67,Independent,Caucasian
,Michael Collins,Cork South-West,M,59,Independent,Caucasian
,Catherine Connolly,Galway West,F,60,Independent,Caucasian
,Michael Fitzmaurice,Roscommon–Galway,M,48,Independent,Caucasian
,Noel Grealish,Galway West,M,51,Independent,Caucasian
,John Halligan,Waterford,M,62,Independent,Caucasian
,Danny Healy-Rae,Kerry,M,63,Independent,Caucasian
,Michael Healy-Rae,Kerry,M,50,Independent,Caucasian
,Michael Harty,Clare,M,62,Independent,Caucasian
,Michael Lowry,Tipperary,M,64,Independent,Caucasian
,Finian McGrath,Dublin Bay North,M,64,Independent,Caucasian
,Mattie McGrath,Tipperary,M,59,Independent,Caucasian
,"Kevin ""Boxer"" Moran",Longford–Westmeath,M,49,Independent,Caucasian
,Denis Naughten,Roscommon–Galway,M,44,Independent,Caucasian
,Maureen O'Sullivan,Dublin Central,F,66,Independent,Caucasian
,Thomas Pringle,Donegal,M,50,Independent,Caucasian
,Shane Ross,Dublin Rathdown,M,68,Independent,Caucasian
,Katherine Zappone,Dublin South-West,F,63,Independent,Caucasian
